ac-daemon: CTRL tcp://127.0.0.1:29700  DATA tcp://127.0.0.1:29701
jack: client "ac-daemon-86" out->[] in<-Some("Babyface Pro Pro:capture_2")
drain-tick seq=1 dt_us=- n=5376 occ_min=5376 occ_max=24576 occ=[5376, 24576] discarded=0
drain-tick seq=2 dt_us=53390 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=3 dt_us=53245 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=4 dt_us=53369 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=5 dt_us=53371 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=6 dt_us=53253 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=7 dt_us=53368 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=8 dt_us=53382 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=9 dt_us=53257 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=10 dt_us=53381 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=11 dt_us=53371 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=12 dt_us=53287 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=13 dt_us=53336 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=14 dt_us=53375 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=15 dt_us=53244 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
drain-tick seq=16 dt_us=53387 n=5120 occ_min=5120 occ_max=24320 occ=[5120, 24320] discarded=0
